Model,Seed,Test_ACC,Test_F1,Test_Precision,Test_Sensitivity,Test_Specificity
KNN,4,62.5,44.44444444444444,52.17391304347826,38.70967741935484,77.55102040816327
KNN,40,71.25,66.17647058823529,60.810810810810814,72.58064516129032,70.40816326530613
KNN,400,70.0,57.89473684210527,63.46153846153846,53.2258064516129,80.61224489795919
CART,4,71.25,65.15151515151516,61.42857142857143,69.35483870967742,72.44897959183673
CART,40,72.5,63.934426229508205,65.0,62.903225806451616,78.57142857142857
CART,400,75.625,68.29268292682927,68.85245901639344,67.74193548387096,80.61224489795919
C4.5,4,71.25,65.15151515151516,61.42857142857143,69.35483870967742,72.44897959183673
C4.5,40,75.625,66.66666666666666,70.9090909090909,62.903225806451616,83.6734693877551
C4.5,400,73.125,63.86554621848739,66.66666666666666,61.29032258064516,80.61224489795919
KNN,Average,67.91666666666667,56.17188395826167,58.81542077194251,54.83870967741935,76.19047619047619
CART,Average,73.125,65.79287476928421,65.09367681498829,66.66666666666667,77.21088435374149
C4.5,Average,73.33333333333333,65.2279093455564,66.33477633477632,64.51612903225806,78.91156462585035
